codigo,nome,endereco,descricao,longitude,latitude,distrito
170011301,"R. LOURENÇO SAPORITO , 446",DIOGO MARTINS/ R PROFESSOR NINA STOCO,R DIOGO MARTINS/ R PROFESSOR NINA STOCO,-46.761462,-23.62714702,Campo Limpo
860002579,"AV. TEODORO BERNARDO DO NASCIMENTO , 1001",ANISIO DA SILVEIRA MACHADO/ R JOSE PESSOTA,R ANISIO DA SILVEIRA MACHADO/ R JOSE PESSOTA,-46.410394,-23.51887402,Vila Curuçá
4715152,"R. LEONILDA MAGRINI , 131",TRAV. MARIETA ALIVERTI,TRAV. MARIETA ALIVERTI,-46.402033,-23.54533002,Lajeado
7404465,"R. JAIME PAIVA , 115",AV. ASTOLFO DUTRA,AV. ASTOLFO DUTRA,-46.546435,-23.59927402,São Lucas
3702424,"R. GAZETA , 39",UA BALDAMERO LILO,RUA BALDAMERO LILO,-46.632336,-23.66413302,Jabaquara
1603306,"R. ENG. ALLYRIO HUGUENEY DE MATTOS , 195",ua Sgto. Geraldo Santana -- Colégio Santa Maria,Rua Sgto. Geraldo Santana -- Colégio Santa Maria,-46.680869,-23.66263502,Campo Grande
18870,"M01 SÉ - SÃO BENTO , 109",LG SAO BENTO,LG SAO BENTO,-46.6342,-23.54410002,Sé
560009151,"AV. JACEGUAVA , 2802",EST DO JACEGUAY/ EST MORRO DO S,EST DO JACEGUAY/ EST MORRO DO S,-46.742645,-23.77688602,Parelheiros
6201730,"R. RECANTO DOS HUMILDES , 0",,,-46.750806,-23.41401602,Perus
760002807,"AV. PIRES DO RIO , 1948",TR PINDORAMA DE GOIAS/ PAS OITO,TR PINDORAMA DE GOIAS/ PAS OITO,-46.443904,-23.51444502,Itaquera
509035,"AV. ÁGUIA DE HAIA , 1255",,,-46.473961,-23.53497702,Artur Alvim
4114485,"R. AKIO MORITA , 23",JEAN AUREL,R.   JEAN AUREL,-46.744865,-23.43781702,Jaraguá
7504167,"R. DR. PAULO QUEIROZ , 1080",FRANCISCO DE MAGALHAES,R   FRANCISCO DE MAGALHAES,-46.485714,-23.59001102,São Mateus
560009045,"R. ELOY DOMINGUES DA SILVA , 378",MARIA HESSEL REIMBERG/ R ALFREDO HANISCH,R MARIA HESSEL REIMBERG/ R ALFREDO HANISCH,-46.720044,-23.83028602,Parelheiros
640000126,"AV. STA. MÔNICA , 1104",FRANCISCO HENRIQUES/ R DES. JOAQUIM BANDEIRA DE MELLO,R FRANCISCO HENRIQUES/ R DES. JOAQUIM BANDEIRA DE MELLO,-46.749483,-23.47450902,Pirituba
910000883,"AV. ALBERTO BYINGTON , 72",ORINDIUVA/ R DR. EDSON DE MELO,R ORINDIUVA/ R DR. EDSON DE MELO,-46.584158,-23.51121202,Vila Maria
50005113,"VIAD. ITINGUÇU , 0",ITINGUCU/ AV CANIO LETTIERI,R ITINGUCU/ AV CANIO LETTIERI,-46.492853,-23.53428902,Artur Alvim
710000723,"AV. ZAKI NARCHI , 101",URUPIARA/ AV CRUZEIRO DO SUL,R URUPIARA/ AV CRUZEIRO DO SUL,-46.624541,-23.51135102,Santana
150010302,"R. JOAQUIM NABUCO , 771",UA ANTONIO DE MACEDO SOARES,RUA ANTONIO DE MACEDO SOARES,-46.679372,-23.62744202,Campo Belo
4114529,"R. PAULO ARENTINO , 925",UA LOURENÇO MATIELLI,RUA LOURENÇO MATIELLI,-46.737334,-23.43619202,Jaraguá
750006764,"TERM. S. MATEUS - PLAT. A , 0",AV SAPOPEMBA/ PC FELISBERTO FERNANDES DA SILVA,AV SAPOPEMBA/ PC FELISBERTO FERNANDES DA SILVA,-46.476653,-23.61354402,São Mateus
