nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
UBS VILA PARANAGUÁ,Unidade Básica de Saúde,Municipal,"R. JOSÉ GOES NOGUEIRA, 70",VL PARANAGUÁ,03807-380,2943-8044 / 2546-0098,-46.474236,-23.49493101,Ermelino Matarazzo
UBS VILA PENTEADO - FATIMA DE JESUS VIANA ROSA,Unidade Básica de Saúde,Municipal,"R. URUPEVA, 219",VILA PENTEADO,02866-080,3851-8201 / 3985-3545,-46.680762,-23.46689702,Brasilândia
UBS VILA PIRITUBA,Unidade Básica de Saúde,Municipal,"R. RIBEIRÃO VERMELHO, 501",VILA PIRITUBA,05170-000,3904-2509 / 3901-3848,-46.747013,-23.48259901,Pirituba
UBS VILA PRAIA -VITORIO ROLANDO BOCCALETTI,Unidade Básica de Saúde,Municipal,"R. ANDRÉ DE ANDRADE, S/N",VILA PRAIA,05749-240,3501-3603 / 3742-9041,-46.745817,-23.61727701,Vila Andrade
UBS VILA PROGRESSO,Unidade Básica de Saúde,Municipal,"R. REAL HORTO, 115",VL PROGRESSO,08245-260,2035-2488,-46.433226,-23.51517102,São Miguel
UBS VILA PROGRESSO - JD MONTE ALEGRE,Unidade Básica de Saúde,Municipal,"R. ANTONIO GENELLE, 30",JD MONTE ALEGRE,02811-020,3975-2893 / 3992-2349,-46.702532,-23.47546801,Freguesia do Ó
UBS VILA PRUDENTE,Unidade Básica de Saúde,Municipal,"PRAÇA DO CENTENÁRIO DE VILA PRUDENTE - VEIGA CABRAL, 108",VILA PRUDENTE,03132-050,2272-5763,-46.582787,-23.58217302,Vila Prudente
UBS VILA RAMOS - DR. LUIZ AUGUSTO DE CAMPOS,Unidade Básica de Saúde,Municipal,"AV. AUGUSTO ANTUNES, 1631",LIMOEIRO,08235-630,2052-6945 / 2051-7317,-46.46385,-23.52051701,Itaquera
UBS VILA RAMOS - FREGUESIA DO Ó,Unidade Básica de Saúde,Municipal,"R. FERRAZ DE VASCONCELOS, 80",NOSSA SENHORA DO O,02760-060,3924-4111,-46.677918,-23.48255201,Freguesia do Ó
UBS VILA REGINA,Unidade Básica de Saúde,Municipal,"R. CATARINA LOPES, 450",VILA REGINA,08225-000,2205-6003 / 2944-7662,-46.458847,-23.53031902,Itaquera
UBS VILA RENATO - MARIA DAS GRAÇAS DA SILVA,Unidade Básica de Saúde,Municipal,"R. BERNARDINO FERRAZ, 54",VL RENATO,03978-210,2703-0947 / 2703-0970,-46.506963,-23.61757202,Sapopemba
UBS VILA ROMANA,Unidade Básica de Saúde,Municipal,"R. VESPASIANO, 679",VL ROMANA,05044-050,3672-0911 / 3862-4102,-46.695299,-23.52868302,Lapa
UBS VILA ROSCHEL,Unidade Básica de Saúde,Municipal,"R. ALICE BASTIDE, 290",VL ROSCHEL,04891-140,5920-2604,-46.737013,-23.84144901,Parelheiros
UBS VILA SABRINA - DR. CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA,Unidade Básica de Saúde,Municipal,"R. FRANCISCO FRANCO MACHADO, 150",VL. SABRINA,02139-020,3478-7250,-46.572817,-23.49242501,Vila Medeiros
UBS VILA SANTA CATARINA,Unidade Básica de Saúde,Municipal,"R. BELMIRO ZANETTI ESTEVES, 181",VL SANTA CATARINA,04377-060,5563-9814,-46.652384,-23.65333301,Jabaquara
UBS VILA SANTA MARIA,Unidade Básica de Saúde,Municipal,"R. PROFESSOR DARIO RIBEIRO, 670",LIMÃO,02559-000,3965-6035,-46.67146,-23.49318601,Limão
UBS VILA SANTANA,Unidade Básica de Saúde,Municipal,"R. VITOR JOSE DE CASTRO, 84",VL SANTANA,08240-300,2051-3962 / 2052-9698,-46.44572,-23.52528301,Itaquera
UBS VILA SANTO ESTEVÃO - WOADY JORGE KALIL,Unidade Básica de Saúde,Municipal,"R. ANTONIO CAMARDO, 678",VILA GOMES CARDIM,03309-060,2093-7620,-46.561071,-23.54913801,Tatuapé
UBS VILA TEREZINHA,Unidade Básica de Saúde,Municipal,"R. DOMINGOS FRANCISCO DE MEDEIROS, 70",VILA TERESINHA,02854-010,3921-2380,-46.696421,-23.45876201,Brasilândia
UBS VILA ZATT,Unidade Básica de Saúde,Municipal,"R. MONSENHOR MANUEL GOMES, 77",VILA ZATT,02975-120,3975-2116,-46.711275,-23.47693702,Pirituba
UBS ZUMBI DOS PALMARES,Unidade Básica de Saúde,Municipal,"R. HUMBERTO DE ALMEIDA, 279",CHÁCARA SANTANA,05831-000,3777-1350,-46.746016,-23.67207101,Jardim São Luís
UBSI ALDEIA JARAGUA - KWARÃY DJEKUPÉ,Unidade Básica de Saúde,Municipal,"ESTRADA TURÍSTICA DO JARAGUÁ, 3750",JARAGUÁ,05161-000,3903-4988,-46.75377713,-23.46402919,Jaraguá
UBSI KRUKUTU,Unidade Básica de Saúde,Municipal,"ESTRADA DO CURUCUTU, S/Nº",CIPO DO MEIO,04895-090,5827-7585,-46.621096,-23.86480502,Parelheiros
UBSI VERA POTY,Unidade Básica de Saúde,Municipal,"ESTRADA JOÃO LANG, 153",BARRAGEM,04895-070,5977-3851,-46.651613,-23.86766302,Parelheiros
