nome,categoria,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
IBIRAPUERA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R SANSAO ALVES DOS SANTOS, 101",,,,-46.69535015,-23.60634453,Itaim Bibi
VILA PIAUI,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R BETIM PAIS LEME, 193",,,,-46.76021805,-23.50394744,Jaguara
CLOVIS ALVES RODRIGUES,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R RAFAEL BARBOSA, 198",,,,-46.75618258,-23.58303425,Rio Pequeno
PÉS NO FUTURO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R ALFREDO XAVIER DE ANDRADE, S/N",,,,-46.74846529,-23.58100983,Butantã
PORTUGUESINHA DO RIO PEQUENO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R CDE LUIZ EDUARDO MATARAZZO, 255",,,,-46.75478884,-23.56371541,Rio Pequeno
MAURO BEZERRA DE MENEZES,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA MARINA CIUFULI ZANFELICE, 61",,,,-46.7040479,-23.51328409,Lapa
JOÃO XIII,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV ENGEMHEIRO HEITOR ANTONIO EIRAS GARCIA, 6748",,,,-46.7878639,-23.60093401,Raposo Tavares
SEBASTIÃO ZILLIG,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"PRACA JOSE BELO RESENDE , 0",,04841-010,,-46.68965691,-23.73487156,Grajaú
EBANOS,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA SAO GUILHERME, 515",,04806-040,,-46.703491,-23.71076404,Cidade Dutra
JD SUZANA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA MADAGASCAR, 179",,04784-220,,-46.53082299,-23.57912831,Vila Formosa
JD UNIVERSITARIO,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA SAO JOSE BENTO COTTOLENGO, 90",,04829-460,,-46.70974272,-23.73639507,Cidade Dutra
PQ AMERICA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"AVENIDA ROSALIA IANNINI CONDE, 272",,04841-150,,-46.68818893,-23.73856788,Grajaú
JD CASTRO ALVES,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA DOMINGOS RINALDELLI, 17079",,04842-100,,-46.68351197,-23.74232394,Grajaú
PQ. SANTO ANTONIO PSA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA VALDOMIRO DOS SANTOS PEREIRA, 160",,,,-46.7523561,-23.66625328,Jardim São Luís
ORESTES QUERCIA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA GUIMARAES TAVARES, 411",,,,-46.72980864,-23.65197443,Jardim São Luís
ISRAEL SARAIVA DE ALENCAR,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA GASPAR DO REGO FIGUEIREDO, 0",,,,-46.74975886,-23.67865204,Jardim São Luís
MONTE AZUL,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"AVENIDA TOMAS DE SOUSA, 761",,,,-46.73741799,-23.64602876,Jardim São Luís
MINI CENTRO CAMPO GRANDE,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA PROFESSORA HAIDEE SILVA MARTINS, 517",,04693-030,,-46.68997704,-23.67778207,Campo Grande
JARDIM MARIA ESTELA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA SEBASTIAO SARMENTO MENA, 58",,04176-180,,-46.60178864,-23.63525099,Sacomã
JARDIM PATENTE,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA ANTONIO ANNUNZIATO, 57",,04243-220,,-46.58579686,-23.62890545,Sacomã
VILA CLEMENTINO,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA DOUTOR DIOGO DE FARIA, 1084",,04037-003,,-46.64702707,-23.59497652,Vila Mariana
AUCÍDIO BUENO,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA JOSE DE ARAUJO VIEIRA, 10",,08310-240,,-46.46418986,-23.62629001,São Rafael
CONJUNTO SETUBAL,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA JOAQUIM LAGE, 409",,03266-110,,-46.5347659,-23.59875156,São Lucas
FARIA LIMA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"TRAVESSA MATICO, 276",,03245-050,,-46.53746868,-23.60458676,São Lucas
FERNANDO ROMERA VAL,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA JOAO BATISTA MENDO, 150",,03227-040,,-46.56942256,-23.58766242,Vila Prudente
