nome,modal,empresa,linha,situacao,longitude,latitude,distrito
LAPA (LINHA 8),Trem,VIAMOBILIDADE,DIAMANTE,OPERANDO,-46.69900484,-23.52016377,Lapa
SANTO AMARO (LINHA 9),Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.71918384,-23.6562083,Santo Amaro
VILLA-LOBOS - JAGUARÉ,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.73281686,-23.54602003,Alto de Pinheiros
JURUBATUBA,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.70212791,-23.67743624,Campo Grande
BERRINI,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.69697598,-23.60527752,Itaim Bibi
AUTÓDROMO,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.68844701,-23.70655696,Cidade Dutra
PINHEIROS,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.70304439,-23.56646758,Pinheiros
PRIMAVERA - INTERLAGOS,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.69175883,-23.72271225,Cidade Dutra
GRAJAÚ,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.69701514,-23.73644873,Cidade Dutra
HEBRAICA - REBOUÇAS,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.69879245,-23.57361179,Pinheiros
CIDADE JARDIM,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.69116272,-23.5855236,Pinheiros
VILA OLÍMPIA,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.69285463,-23.59345389,Itaim Bibi
MORUMBI,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.70182209,-23.62184508,Santo Amaro
GRANJA JULIETA,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.71228827,-23.62791607,Santo Amaro
SOCORRO,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.71090866,-23.66347262,Santo Amaro
CEASA,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.74261075,-23.53741915,Vila Leopoldina
CIDADE UNIVERSITÁRIA,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.71177722,-23.55764263,Alto de Pinheiros
DOMINGOS DE MORAIS,Trem,VIAMOBILIDADE,DIAMANTE,OPERANDO,-46.72148463,-23.51892954,Lapa
LAPA (LINHA 7),Trem,CPTM,RUBI,OPERANDO,-46.70365872,-23.51773416,Lapa
JARAGUÁ,Trem,CPTM,RUBI,OPERANDO,-46.73841665,-23.45544968,Jaraguá
LUZ,Trem,CPTM,TURQUESA,OPERANDO,-46.63511522,-23.53496082,Bom Retiro
LUZ,Trem,CPTM,CORAL,OPERANDO,-46.63511522,-23.53496082,Bom Retiro
MOOCA,Trem,CPTM,TURQUESA,OPERANDO,-46.60835232,-23.55806639,Mooca
BRÁS,Trem,CPTM,TURQUESA,OPERANDO,-46.61687708,-23.54402144,Brás
BRÁS,Trem,CPTM,CORAL,OPERANDO,-46.61687708,-23.54402144,Brás
BRÁS,Trem,CPTM,SAFIRA,OPERANDO,-46.61687708,-23.54402144,Brás
TATUAPÉ,Trem,CPTM,CORAL,OPERANDO,-46.57645699,-23.5402277,Tatuapé
TATUAPÉ,Trem,CPTM,SAFIRA,OPERANDO,-46.57645699,-23.5402277,Tatuapé
